Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Augsburg,1,2025-08-23,Freiburg,A,W,1,3,3,0.0,3.0,3.0
Augsburg,2,2025-08-30,Bayern Munich,H,L,2,3,0,0.0,0.0,3.0
Augsburg,3,2025-09-14,St Pauli,A,L,2,1,0,1.0,-1.0,2.0
Augsburg,4,2025-09-20,Mainz,H,L,1,4,0,0.0,0.0,2.0
Augsburg,5,2025-09-27,Heidenheim,A,L,2,1,0,0.0,0.0,2.0
Augsburg,6,2025-10-04,Wolfsburg,H,W,3,1,3,3.0,0.0,2.0
Augsburg,7,2025-10-25,RB Leipzig,H,L,0,6,0,1.0,-1.0,1.0
Augsburg,8,2025-10-31,Dortmund,H,L,0,1,0,3.0,-3.0,-2.0
Augsburg,9,2025-11-09,Stuttgart,A,L,3,2,0,0.0,0.0,-2.0
Bayern Munich,1,2025-08-22,RB Leipzig,H,W,6,0,3,3.0,0.0,0.0
Bayern Munich,2,2025-08-30,Augsburg,A,W,2,3,3,3.0,0.0,0.0
Bayern Munich,3,2025-09-20,Hoffenheim,A,W,1,4,3,3.0,0.0,0.0
Bayern Munich,4,2025-09-26,Werder Bremen,H,W,4,0,3,3.0,0.0,0.0
Bayern Munich,5,2025-10-04,Ein Frankfurt,A,W,0,3,3,1.0,2.0,2.0
Bayern Munich,6,2025-10-18,Dortmund,H,W,2,1,3,1.0,2.0,4.0
Bayern Munich,7,2025-10-25,M'gladbach,A,W,0,3,3,3.0,0.0,4.0
Bayern Munich,8,2025-11-01,Leverkusen,H,W,3,0,3,1.0,2.0,6.0
Bayern Munich,9,2025-11-08,Union Berlin,A,D,2,2,1,1.0,0.0,6.0
Dortmund,1,2025-08-23,St Pauli,A,D,3,3,1,3.0,-2.0,-2.0
Dortmund,2,2025-08-31,Union Berlin,H,W,3,0,3,3.0,0.0,-2.0
Dortmund,3,2025-09-13,Heidenheim,A,W,0,2,3,3.0,0.0,-2.0
Dortmund,4,2025-09-21,Wolfsburg,H,W,1,0,3,3.0,0.0,-2.0
Dortmund,5,2025-09-27,Mainz,A,W,0,2,3,0.0,3.0,1.0
Dortmund,6,2025-10-04,RB Leipzig,H,D,1,1,1,3.0,-2.0,-1.0
Dortmund,7,2025-10-18,Bayern Munich,A,L,2,1,0,1.0,-1.0,-2.0
Dortmund,8,2025-10-31,Augsburg,A,W,0,1,3,0.0,3.0,1.0
