player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Robert Lewandowski,Bayern Munich,41,7,48,48.5,41.4,7.1,29,2021
Andrej Kramaric,Hoffenheim,20,5,25,48.1,38.5,9.6,28,2021
André Silva,Eintracht Frankfurt,28,5,33,47.8,40.6,7.2,32,2021
Wout Weghorst,Wolfsburg,20,8,28,45.9,32.8,13.1,34,2021
Erling Haaland,Borussia Dortmund,27,6,33,44.0,36.0,8.0,28,2021
Vincenzo Grifo,Freiburg,9,11,20,38.5,17.3,21.2,31,2021
Sasa Kalajdzic,VfB Stuttgart,16,5,21,37.5,28.6,8.9,33,2021
Lars Stindl,Borussia M.Gladbach,14,8,22,34.4,21.9,12.5,30,2021
Ondrej Duda,FC Cologne,7,4,11,32.4,20.6,11.8,32,2021
Leon Bailey,Bayer Leverkusen,9,8,17,32.1,17.0,15.1,30,2021
Max Kruse,Union Berlin,11,5,16,32.0,22.0,10.0,22,2021
Ihlas Bebou,Hoffenheim,9,7,16,30.8,17.3,13.5,32,2021
André Hahn,Augsburg,8,3,11,30.6,22.2,8.3,29,2021
Thomas Müller,Bayern Munich,11,18,29,29.3,11.1,18.2,32,2021
Matthew Hoppe,Schalke 04,6,1,7,28.0,24.0,4.0,22,2021
Amine Harit,Schalke 04,2,5,7,28.0,8.0,20.0,28,2021
Daniel Caligiuri,Augsburg,6,4,10,27.8,16.7,11.1,33,2021
Filip Kostic,Eintracht Frankfurt,4,15,19,27.5,5.8,21.7,30,2021
Ritsu Doan,Arminia Bielefeld,5,2,7,26.9,19.2,7.7,34,2021
Fabian Klos,Arminia Bielefeld,5,2,7,26.9,19.2,7.7,34,2021
Silas Wamangituka,VfB Stuttgart,11,4,15,26.8,19.6,7.1,25,2021
Matheus Cunha,Hertha Berlin,7,4,11,26.8,17.1,9.8,27,2021
Jonas Hofmann,Borussia M.Gladbach,6,11,17,26.6,9.4,17.2,24,2021
Moussa Diaby,Bayer Leverkusen,4,10,14,26.4,7.5,18.9,32,2021
Jadon Sancho,Borussia Dortmund,8,11,19,25.3,10.7,14.7,26,2021
Ruben Vargas,Augsburg,6,3,9,25.0,16.7,8.3,30,2021
Florian Niederlechner,Augsburg,5,4,9,25.0,13.9,11.1,28,2021
Daichi Kamada,Eintracht Frankfurt,5,12,17,24.6,7.2,17.4,32,2021
Lucas Alario,Bayer Leverkusen,11,2,13,24.5,20.8,3.8,25,2021
Dodi Lukebakio,Hertha Berlin,5,5,10,24.4,12.2,12.2,29,2021
Dani Olmo,RasenBallsport Leipzig,5,9,14,23.3,8.3,15.0,32,2021
Roland Sallai,Freiburg,8,3,11,21.2,15.4,5.8,28,2021
Ermedin Demirovic,Freiburg,5,6,11,21.2,9.6,11.5,30,2021
Florian Wirtz,Bayer Leverkusen,5,6,11,20.8,9.4,11.3,29,2021
Ellyes Skhiri,FC Cologne,5,2,7,20.6,14.7,5.9,32,2021
Elvis Rexhbecaj,FC Cologne,5,2,7,20.6,14.7,5.9,30,2021
Jean-Philippe Mateta,Mainz 05,7,1,8,20.5,17.9,2.6,15,2021
Robin Quaison,Mainz 05,6,2,8,20.5,15.4,5.1,28,2021
Christopher Nkunku,RasenBallsport Leipzig,6,6,12,20.0,10.0,10.0,28,2021
Raphael Guerreiro,Borussia Dortmund,5,10,15,20.0,6.7,13.3,27,2021
Christopher Trimmel,Union Berlin,1,9,10,20.0,2.0,18.0,31,2021
Jhon Córdoba,Hertha Berlin,7,1,8,19.5,17.1,2.4,21,2021
Krzysztof Piatek,Hertha Berlin,7,1,8,19.5,17.1,2.4,32,2021
Joshua Sargent,Werder Bremen,5,2,7,19.4,13.9,5.6,32,2021
