Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,HomeRating_Before,AwayRating_Before,HomeRating_After,AwayRating_After,Expected_Home_Win,Rating_Change_Home,Rating_Change_Away
2020-09-19,2021,serie_a,Fiorentina,Torino,1,0,1500.0,1500.0,1516.58,1483.42,0.585,16.58,-16.58
2020-09-19,2021,serie_a,Verona,Roma,0,0,1500.0,1500.0,1496.58,1503.42,0.585,-3.42,3.42
2020-09-20,2021,serie_a,Parma,Napoli,0,2,1500.0,1500.0,1464.87,1535.13,0.585,-35.13,35.13
2020-09-20,2021,serie_a,Genoa,Crotone,4,1,1500.0,1500.0,1529.02,1470.98,0.585,29.02,-29.02
2020-09-20,2021,serie_a,Sassuolo,Cagliari,1,1,1500.0,1500.0,1496.58,1503.42,0.585,-3.42,3.42
2020-09-20,2021,serie_a,Juventus,Sampdoria,3,0,1500.0,1500.0,1529.02,1470.98,0.585,29.02,-29.02
2020-09-21,2021,serie_a,Milan,Bologna,2,0,1500.0,1500.0,1524.87,1475.13,0.585,24.87,-24.87
2020-09-26,2021,serie_a,Sampdoria,Benevento,2,3,1470.98,1500.0,1449.21,1521.78,0.544,-21.78,21.78
2020-09-26,2021,serie_a,Inter,Fiorentina,4,3,1500.0,1516.58,1517.51,1499.07,0.562,17.51,-17.51
2020-09-26,2021,serie_a,Torino,Atalanta,2,4,1483.42,1500.0,1449.69,1533.73,0.562,-33.73,33.73
2020-09-26,2021,serie_a,Cagliari,Lazio,0,2,1503.42,1500.0,1468.0,1535.42,0.59,-35.42,35.42
2020-09-27,2021,serie_a,Spezia,Sassuolo,1,4,1500.0,1496.58,1458.68,1537.9,0.59,-41.32,41.32
2020-09-27,2021,serie_a,Napoli,Genoa,6,0,1535.13,1529.02,1569.64,1494.51,0.594,34.51,-34.51
2020-09-27,2021,serie_a,Verona,Udinese,1,0,1496.58,1500.0,1513.35,1483.23,0.581,16.77,-16.77
2020-09-27,2021,serie_a,Crotone,Milan,0,2,1470.98,1524.87,1440.46,1555.4,0.509,-30.53,30.53
2020-09-27,2021,serie_a,Roma,Juventus,2,2,1503.42,1529.02,1501.45,1530.99,0.549,-1.97,1.97
2020-09-28,2021,serie_a,Bologna,Parma,4,1,1475.13,1464.87,1503.15,1436.85,0.6,28.02,-28.02
2020-09-30,2021,serie_a,Benevento,Inter,2,5,1521.78,1517.51,1480.38,1558.91,0.591,-41.4,41.4
2020-09-30,2021,serie_a,Udinese,Spezia,0,2,1483.23,1458.68,1446.07,1495.84,0.619,-37.16,37.16
2020-09-30,2021,serie_a,Lazio,Atalanta,1,4,1535.42,1533.73,1494.27,1574.88,0.588,-41.15,41.15
2020-10-02,2021,serie_a,Fiorentina,Sampdoria,1,2,1499.07,1449.21,1472.95,1475.33,0.653,-26.12,26.12
2020-10-03,2021,serie_a,Udinese,Roma,0,1,1446.07,1501.45,1425.8,1521.71,0.507,-20.27,20.27
2020-10-03,2021,serie_a,Sassuolo,Crotone,4,1,1537.9,1440.46,1558.04,1420.31,0.712,20.14,-20.14
2020-10-04,2021,serie_a,Atalanta,Cagliari,5,2,1574.88,1468.0,1594.25,1448.63,0.723,19.37,-19.37
2020-10-04,2021,serie_a,Benevento,Bologna,1,0,1480.38,1503.15,1498.24,1485.28,0.553,17.86,-17.86
2020-10-04,2021,serie_a,Lazio,Inter,1,1,1494.27,1558.91,1494.53,1558.65,0.493,0.27,-0.27
2020-10-04,2021,serie_a,Parma,Verona,1,0,1436.85,1513.35,1457.8,1492.4,0.476,20.95,-20.95
2020-10-04,2021,serie_a,Milan,Spezia,3,0,1555.4,1495.84,1578.81,1472.43,0.666,23.41,-23.41
2020-10-17,2021,serie_a,Napoli,Atalanta,4,1,1569.64,1594.25,1601.09,1562.8,0.551,31.45,-31.45
2020-10-17,2021,serie_a,Inter,Milan,1,2,1558.65,1578.81,1536.36,1601.09,0.557,-22.28,22.28
2020-10-17,2021,serie_a,Sampdoria,Lazio,3,0,1475.33,1494.53,1506.24,1463.62,0.558,30.91,-30.91
2020-10-17,2021,serie_a,Crotone,Juventus,1,1,1420.31,1530.99,1423.21,1528.09,0.428,2.9,-2.9
2020-10-18,2021,serie_a,Roma,Benevento,5,2,1521.71,1498.24,1548.46,1471.49,0.618,26.75,-26.75
2020-10-18,2021,serie_a,Udinese,Parma,3,2,1425.8,1457.8,1444.19,1439.41,0.54,18.39,-18.39
2020-10-18,2021,serie_a,Spezia,Fiorentina,2,2,1472.43,1472.95,1469.04,1476.34,0.585,-3.39,3.39
2020-10-18,2021,serie_a,Bologna,Sassuolo,3,4,1485.28,1558.04,1466.02,1577.31,0.482,-19.27,19.27
2020-10-18,2021,serie_a,Torino,Cagliari,2,3,1449.69,1448.63,1426.21,1472.11,0.587,-23.48,23.48
2020-10-19,2021,serie_a,Verona,Genoa,0,0,1492.4,1494.51,1489.1,1497.81,0.583,-3.3,3.3
2020-10-23,2021,serie_a,Sassuolo,Torino,3,3,1577.31,1426.21,1566.46,1437.06,0.771,-10.85,10.85
2020-10-24,2021,serie_a,Atalanta,Sampdoria,1,3,1562.8,1506.24,1523.1,1545.94,0.662,-39.7,39.7
2020-10-24,2021,serie_a,Genoa,Inter,0,2,1497.81,1536.36,1465.96,1568.21,0.531,-31.85,31.85
