player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Kylian Mbappe-Lottin,Real Madrid,16,4,20,62.5,50.0,12.5,15,2526
Vedat Muriqi,Mallorca,8,0,8,53.3,53.3,0.0,13,2526
Luis Milla,Getafe,0,6,6,46.2,0.0,46.2,14,2526
Borja Iglesias,Celta Vigo,5,2,7,43.8,31.2,12.5,14,2526
Mikel Oyarzabal,Real Sociedad,5,3,8,42.1,26.3,15.8,13,2526
Borja Mayoral,Getafe,4,1,5,38.5,30.8,7.7,11,2526
Jorge De Frutos,Rayo Vallecano,4,1,5,38.5,30.8,7.7,13,2526
Ruben Vargas,Sevilla,3,4,7,36.8,15.8,21.1,12,2526
Ante Budimir,Osasuna,4,0,4,33.3,33.3,0.0,13,2526
Julián Álvarez,Atletico Madrid,7,2,9,32.1,25.0,7.1,15,2526
Juan Camilo Hernández,Real Betis,5,2,7,31.8,22.7,9.1,14,2526
Pablo Fornals,Real Betis,3,4,7,31.8,13.6,18.2,14,2526
Ander Barrenetxea,Real Sociedad,3,3,6,31.6,15.8,15.8,13,2526
Hugo Duro,Valencia,4,0,4,30.8,30.8,0.0,14,2526
Álvaro García,Rayo Vallecano,3,1,4,30.8,23.1,7.7,14,2526
Arnaut Danjuma Groeneveld,Valencia,3,1,4,30.8,23.1,7.7,14,2526
Luis Rioja,Valencia,1,3,4,30.8,7.7,23.1,14,2526
Lamine Yamal,Barcelona,5,7,12,28.6,11.9,16.7,11,2526
Nico Williams,Athletic Club,3,1,4,28.6,21.4,7.1,11,2526
Salomón Rondón,Real Oviedo,2,0,2,28.6,28.6,0.0,13,2526
Vinícius Júnior,Real Madrid,5,4,9,28.1,15.6,12.5,15,2526
Pere Milla,Espanyol,5,0,5,27.8,27.8,0.0,12,2526
Roberto Fernández,Espanyol,3,2,5,27.8,16.7,11.1,14,2526
Alberto Moleiro,Villarreal,6,2,8,27.6,20.7,6.9,14,2526
Rafa Mir,Elche,4,0,4,26.7,26.7,0.0,14,2526
André Silva,Elche,4,0,4,26.7,26.7,0.0,13,2526
Alvaro Rodríguez,Elche,2,2,4,26.7,13.3,13.3,12,2526
Brais Méndez,Real Sociedad,3,2,5,26.3,15.8,10.5,13,2526
Iván Romero,Levante,4,0,4,25.0,25.0,0.0,11,2526
Arda Güler,Real Madrid,3,5,8,25.0,9.4,15.6,15,2526
Carlos Vicente,Alaves,3,0,3,25.0,25.0,0.0,14,2526
Antonio Martínez,Alaves,2,1,3,25.0,16.7,8.3,14,2526
Alejandro Catena,Osasuna,2,1,3,25.0,16.7,8.3,13,2526
Rubén García,Osasuna,0,3,3,25.0,0.0,25.0,12,2526
Carles Aleñá,Alaves,0,3,3,25.0,0.0,25.0,14,2526
Cristhian Stuani,Girona,3,0,3,23.1,23.1,0.0,9,2526
Azz-Eddine Ounahi,Girona,3,0,3,23.1,23.1,0.0,9,2526
Diego López,Valencia,3,0,3,23.1,23.1,0.0,14,2526
Adrián Liso,Getafe,3,0,3,23.1,23.1,0.0,11,2526
Vladyslav Vanat,Girona,3,0,3,23.1,23.1,0.0,11,2526
Isi Palazón,Rayo Vallecano,1,2,3,23.1,7.7,15.4,13,2526
Pep Chavarría,Rayo Vallecano,1,2,3,23.1,7.7,15.4,14,2526
Viktor Tsygankov,Girona,1,2,3,23.1,7.7,15.4,8,2526
Bryan Gil Salvatierra,Girona,0,3,3,23.1,0.0,23.1,11,2526
Antony,Real Betis,4,1,5,22.7,18.2,4.5,9,2526
Abdessamad Ezzalzouli,Real Betis,3,2,5,22.7,13.6,9.1,10,2526
Carlos Romero,Espanyol,2,2,4,22.2,11.1,11.1,13,2526
Edu Expósito,Espanyol,0,4,4,22.2,0.0,22.2,13,2526
Robert Lewandowski,Barcelona,8,1,9,21.4,19.0,2.4,12,2526
Ferrán Torres,Barcelona,8,1,9,21.4,19.0,2.4,14,2526
Roberto Navarro,Athletic Club,3,0,3,21.4,21.4,0.0,13,2526
Giuliano Simeone,Atletico Madrid,2,4,6,21.4,7.1,14.3,14,2526
José Ángel Carmona,Sevilla,1,3,4,21.1,5.3,15.8,12,2526
Mateo Joseph,Mallorca,2,1,3,20.0,13.3,6.7,13,2526
German Valera,Elche,1,2,3,20.0,6.7,13.3,13,2526
Johan Mojica,Mallorca,0,3,3,20.0,0.0,20.0,14,2526
Martim Neto,Elche,0,3,3,20.0,0.0,20.0,11,2526
Jan Virgili,Mallorca,0,3,3,20.0,0.0,20.0,9,2526
Marcus Rashford,Barcelona,2,6,8,19.0,4.8,14.3,14,2526
Iago Aspas,Celta Vigo,2,1,3,18.8,12.5,6.2,12,2526
Ferrán Jutglà,Celta Vigo,2,1,3,18.8,12.5,6.2,11,2526
Carlos Álvarez,Levante,2,1,3,18.8,12.5,6.2,14,2526
Jeremy Toljan,Levante,1,2,3,18.8,6.2,12.5,14,2526
Óscar Mingueza,Celta Vigo,1,2,3,18.8,6.2,12.5,12,2526
Javier Rueda,Celta Vigo,1,2,3,18.8,6.2,12.5,9,2526
Raphinha,Barcelona,4,3,7,16.7,9.5,7.1,9,2526
Kike García,Espanyol,3,0,3,16.7,16.7,0.0,13,2526
Lucas Boyé,Alaves,2,0,2,16.7,16.7,0.0,10,2526
