Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Alaves,1,2025-08-22,Betis,A,L,1,0,0,3.0,-3.0,-3.0
Alaves,2,2025-08-30,Ath Madrid,H,D,1,1,1,1.0,0.0,-3.0
Alaves,3,2025-09-13,Ath Bilbao,A,W,0,1,3,0.0,3.0,0.0
Alaves,4,2025-09-20,Sevilla,H,L,1,2,0,3.0,-3.0,-3.0
Alaves,5,2025-09-24,Getafe,A,D,1,1,1,0.0,1.0,-2.0
Alaves,6,2025-09-27,Mallorca,A,L,1,0,0,1.0,-1.0,-3.0
Alaves,7,2025-10-20,Valencia,H,D,0,0,1,3.0,-2.0,-5.0
Alaves,8,2025-10-26,Vallecano,A,L,1,0,0,0.0,0.0,-5.0
Alaves,9,2025-11-02,Espanol,H,W,2,1,3,0.0,3.0,-2.0
Alaves,10,2025-11-08,Girona,A,L,1,0,0,3.0,-3.0,-5.0
Ath Bilbao,1,2025-08-17,Sevilla,H,W,3,2,3,1.0,2.0,2.0
Ath Bilbao,2,2025-08-25,Vallecano,H,W,1,0,3,3.0,0.0,2.0
Ath Bilbao,3,2025-08-31,Betis,A,W,1,2,3,1.0,2.0,4.0
Ath Bilbao,4,2025-09-13,Alaves,H,L,0,1,0,3.0,-3.0,1.0
Ath Bilbao,5,2025-09-20,Valencia,A,L,2,0,0,3.0,-3.0,-2.0
Ath Bilbao,6,2025-09-23,Girona,H,D,1,1,1,3.0,-2.0,-4.0
Ath Bilbao,7,2025-09-27,Villarreal,A,L,1,0,0,1.0,-1.0,-5.0
Ath Bilbao,8,2025-10-04,Mallorca,H,W,2,1,3,1.0,2.0,-3.0
Ath Bilbao,9,2025-10-25,Getafe,H,L,0,1,0,1.0,-1.0,-4.0
Ath Bilbao,10,2025-11-01,Sociedad,A,L,3,2,0,1.0,-1.0,-5.0
Ath Madrid,1,2025-08-17,Espanol,A,L,2,1,0,1.0,-1.0,-1.0
