Team,Match_Number,Date,Opponent,Venue,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Angers,1,2025-08-22,Paris SG,A,1,0,0,0.0,0.0,0.0
Angers,2,2025-08-31,Rennes,H,1,1,1,0.0,1.0,1.0
Angers,3,2025-09-19,Lyon,A,1,0,0,0.0,0.0,1.0
Angers,4,2025-09-28,Brest,H,0,2,0,3.0,-3.0,-2.0
Angers,5,2025-10-05,Strasbourg,A,5,0,0,1.0,-1.0,-3.0
Auxerre,1,2025-08-23,Nice,A,3,1,0,1.0,-1.0,-1.0
Auxerre,2,2025-08-30,Nantes,A,1,0,0,0.0,0.0,-1.0
Auxerre,3,2025-09-13,Monaco,H,1,2,0,0.0,0.0,-1.0
Auxerre,4,2025-09-21,Toulouse,H,1,0,3,1.0,2.0,1.0
Auxerre,5,2025-09-27,Paris SG,A,2,0,0,0.0,0.0,1.0
Auxerre,6,2025-10-04,Lens,H,1,2,0,1.0,-1.0,0.0
Brest,1,2025-08-17,Lille,H,3,3,1,3.0,-2.0,-2.0
Brest,2,2025-08-24,Toulouse,A,2,0,0,3.0,-3.0,-5.0
Brest,3,2025-08-29,Lens,A,3,1,0,0.0,0.0,-5.0
Brest,4,2025-09-20,Nice,H,4,1,3,0.0,3.0,-2.0
Brest,5,2025-09-28,Angers,A,0,2,3,0.0,3.0,1.0
Brest,6,2025-10-04,Nantes,H,0,0,1,3.0,-2.0,-1.0
Le Havre,1,2025-08-16,Monaco,A,3,1,0,0.0,0.0,0.0
Le Havre,2,2025-08-24,Lens,H,1,2,0,0.0,0.0,0.0
Le Havre,3,2025-08-31,Nice,H,3,1,3,0.0,3.0,3.0
Le Havre,4,2025-09-14,Strasbourg,A,1,0,0,3.0,-3.0,0.0
Le Havre,5,2025-10-05,Rennes,H,2,2,1,0.0,1.0,1.0
Lens,1,2025-08-16,Lyon,H,0,1,0,1.0,-1.0,-1.0
Lens,2,2025-08-24,Le Havre,A,1,2,3,3.0,0.0,-1.0
Lens,3,2025-08-29,Brest,H,3,1,3,3.0,0.0,-1.0
Lens,4,2025-09-14,Paris SG,A,2,0,0,0.0,0.0,-1.0
Lens,5,2025-09-20,Lille,H,3,0,3,0.0,3.0,2.0
Lens,6,2025-09-28,Rennes,A,0,0,1,1.0,0.0,2.0
Lens,7,2025-10-04,Auxerre,A,1,2,3,1.0,2.0,4.0
Lille,1,2025-08-17,Brest,A,3,3,1,0.0,1.0,1.0
Lille,2,2025-08-24,Monaco,H,1,0,3,3.0,0.0,1.0
Lille,3,2025-09-14,Toulouse,H,2,1,3,3.0,0.0,1.0
Lille,4,2025-09-20,Lens,A,3,0,0,3.0,-3.0,-2.0
Lille,5,2025-09-28,Lyon,H,0,1,0,1.0,-1.0,-3.0
Lille,6,2025-10-05,Paris SG,H,1,1,1,0.0,1.0,-2.0
Lyon,1,2025-08-16,Lens,A,0,1,3,1.0,2.0,2.0
Lyon,2,2025-08-31,Marseille,H,1,0,3,0.0,3.0,5.0
Lyon,3,2025-09-14,Rennes,A,3,1,0,0.0,0.0,5.0
Lyon,4,2025-09-19,Angers,H,1,0,3,3.0,0.0,5.0
Lyon,5,2025-09-28,Lille,A,0,1,3,1.0,2.0,7.0
Lyon,6,2025-10-05,Toulouse,H,1,2,0,1.0,-1.0,6.0
Marseille,1,2025-08-15,Rennes,A,1,0,0,3.0,-3.0,-3.0
Marseille,2,2025-08-31,Lyon,A,1,0,0,3.0,-3.0,-6.0
Marseille,3,2025-09-22,Paris SG,H,1,0,3,0.0,3.0,-3.0
Marseille,4,2025-09-26,Strasbourg,A,1,2,3,0.0,3.0,0.0
Monaco,1,2025-08-16,Le Havre,H,3,1,3,3.0,0.0,0.0
Monaco,2,2025-08-24,Lille,A,1,0,0,0.0,0.0,0.0
Monaco,3,2025-08-31,Strasbourg,H,3,2,3,1.0,2.0,2.0
Monaco,4,2025-09-13,Auxerre,A,1,2,3,3.0,0.0,2.0
Monaco,5,2025-10-05,Nice,H,2,2,1,3.0,-2.0,0.0
Nantes,1,2025-08-17,Paris SG,H,0,1,0,1.0,-1.0,-1.0
Nantes,2,2025-08-24,Strasbourg,A,1,0,0,0.0,0.0,-1.0
Nantes,3,2025-08-30,Auxerre,H,1,0,3,3.0,0.0,-1.0
Nantes,4,2025-09-13,Nice,A,1,0,0,3.0,-3.0,-4.0
Nantes,5,2025-09-20,Rennes,H,2,2,1,3.0,-2.0,-6.0
Nantes,6,2025-09-27,Toulouse,A,2,2,1,1.0,0.0,-6.0
Nantes,7,2025-10-04,Brest,A,0,0,1,0.0,1.0,-5.0
Nice,1,2025-08-16,Toulouse,H,0,1,0,1.0,-1.0,-1.0
Nice,2,2025-08-23,Auxerre,H,3,1,3,1.0,2.0,1.0
Nice,3,2025-08-31,Le Havre,A,3,1,0,3.0,-3.0,-2.0
Nice,4,2025-09-13,Nantes,H,1,0,3,0.0,3.0,1.0
Nice,5,2025-09-20,Brest,A,4,1,0,3.0,-3.0,-2.0
Nice,6,2025-10-05,Monaco,A,2,2,1,0.0,1.0,-1.0
Paris SG,1,2025-08-17,Nantes,A,0,1,3,1.0,2.0,2.0
Paris SG,2,2025-08-22,Angers,H,1,0,3,3.0,0.0,2.0
Paris SG,3,2025-08-30,Toulouse,A,3,6,3,3.0,0.0,2.0
Paris SG,4,2025-09-14,Lens,H,2,0,3,3.0,0.0,2.0
Paris SG,5,2025-09-22,Marseille,A,1,0,0,3.0,-3.0,-1.0
Paris SG,6,2025-09-27,Auxerre,H,2,0,3,3.0,0.0,-1.0
Paris SG,7,2025-10-05,Lille,A,1,1,1,3.0,-2.0,-3.0
Rennes,1,2025-08-15,Marseille,H,1,0,3,0.0,3.0,3.0
Rennes,2,2025-08-31,Angers,A,1,1,1,3.0,-2.0,1.0
Rennes,3,2025-09-14,Lyon,H,3,1,3,3.0,0.0,1.0
Rennes,4,2025-09-20,Nantes,A,2,2,1,0.0,1.0,2.0
Rennes,5,2025-09-28,Lens,H,0,0,1,1.0,0.0,2.0
Rennes,6,2025-10-05,Le Havre,A,2,2,1,3.0,-2.0,0.0
Strasbourg,1,2025-08-24,Nantes,H,1,0,3,3.0,0.0,0.0
Strasbourg,2,2025-08-31,Monaco,A,3,2,0,1.0,-1.0,-1.0
Strasbourg,3,2025-09-14,Le Havre,H,1,0,3,0.0,3.0,2.0
Strasbourg,4,2025-09-26,Marseille,H,1,2,0,3.0,-3.0,-1.0
Strasbourg,5,2025-10-05,Angers,H,5,0,3,1.0,2.0,1.0
Toulouse,1,2025-08-16,Nice,A,0,1,3,1.0,2.0,2.0
Toulouse,2,2025-08-24,Brest,H,2,0,3,0.0,3.0,5.0
