player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Lassine Sinayoko,Auxerre,3,2,5,62.5,37.5,25.0,14,2526
Ilan Kebbal,Paris FC,6,4,10,47.6,28.6,19.0,14,2526
Gauthier Hein,Metz,4,2,6,42.9,28.6,14.3,12,2526
Romain Del Castillo,Brest,6,2,8,42.1,31.6,10.5,13,2526
Sofiane Diop,Nice,6,2,8,42.1,31.6,10.5,14,2526
Issa Soumaré,Le Havre,3,2,5,38.5,23.1,15.4,14,2526
Mason Greenwood,Marseille,10,3,13,37.1,28.6,8.6,13,2526
Joaquín Panichelli,Strasbourg,9,0,9,36.0,36.0,0.0,14,2526
Sambou Soumano,Lorient,4,2,6,33.3,22.2,11.1,14,2526
Matthis Abline,Nantes,2,2,4,33.3,16.7,16.7,14,2526
Odsonne Edouard,Lens,5,2,7,29.2,20.8,8.3,11,2526
Wesley Said,Lens,5,2,7,29.2,20.8,8.3,14,2526
Pierre-Emerick Aubameyang,Marseille,5,5,10,28.6,14.3,14.3,12,2526
Pavel Sulc,Lyon,4,2,6,28.6,19.0,9.5,13,2526
Habib Diallo,Metz,3,1,4,28.6,21.4,7.1,9,2526
Ludovic Ajorque,Brest,1,4,5,26.3,5.3,21.1,14,2526
Vitinha,Paris Saint Germain,1,6,7,25.9,3.7,22.2,13,2526
Florian Thauvin,Lens,4,2,6,25.0,16.7,8.3,14,2526
Yann Gboho,Toulouse,3,2,5,25.0,15.0,10.0,13,2526
Felix Correia,Lille,3,4,7,25.0,10.7,14.3,14,2526
Aron Dønnum,Toulouse,3,2,5,25.0,15.0,10.0,13,2526
Sidiki Chérif,Angers,3,0,3,25.0,25.0,0.0,14,2526
Prosper Peter,Angers,3,0,3,25.0,25.0,0.0,12,2526
Bahereba Guirassy,Nantes,2,1,3,25.0,16.7,8.3,12,2526
Danny Namaso,Auxerre,2,0,2,25.0,25.0,0.0,12,2526
Yassin Belkhdim,Angers,1,2,3,25.0,8.3,16.7,14,2526
Ibrahim Osman,Auxerre,0,2,2,25.0,0.0,25.0,13,2526
Emanuel Emegha,Strasbourg,4,2,6,24.0,16.0,8.0,7,2526
Moses Simon,Paris FC,3,2,5,23.8,14.3,9.5,14,2526
Afonso Moreira,Lyon,2,3,5,23.8,9.5,14.3,12,2526
Rassoul Ndiaye,Le Havre,3,0,3,23.1,23.1,0.0,14,2526
Fodé Doucouré,Le Havre,2,1,3,23.1,15.4,7.7,13,2526
Pablo Pagis,Lorient,4,0,4,22.2,22.2,0.0,11,2526
Arsène Kouassi,Lorient,1,3,4,22.2,5.6,16.7,14,2526
Hamza Igamane,Lille,5,1,6,21.4,17.9,3.6,12,2526
Kamory Doumbia,Brest,3,1,4,21.1,15.8,5.3,10,2526
Jeremie Boga,Nice,2,2,4,21.1,10.5,10.5,14,2526
Mohamed Ali-Cho,Nice,2,2,4,21.1,10.5,10.5,7,2526
Breel Embolo,Rennes,4,1,5,20.8,16.7,4.2,11,2526
Adrien Thomasson,Lens,1,4,5,20.8,4.2,16.7,14,2526
Frank Magri,Toulouse,4,0,4,20.0,20.0,0.0,14,2526
Charlie Cresswell,Toulouse,3,1,4,20.0,15.0,5.0,14,2526
Emersonn,Toulouse,3,1,4,20.0,15.0,5.0,10,2526
Valentín Barco,Strasbourg,1,4,5,20.0,4.0,16.0,13,2526
Anssumane Fati,Monaco,5,0,5,19.2,19.2,0.0,10,2526
Folarin Balogun,Monaco,4,1,5,19.2,15.4,3.8,11,2526
Takumi Minamino,Monaco,3,2,5,19.2,11.5,7.7,13,2526
Maghnes Akliouche,Monaco,3,2,5,19.2,11.5,7.7,13,2526
Jean-Phillipe Krasso,Paris FC,2,2,4,19.0,9.5,9.5,14,2526
Bradley Barcola,Paris Saint Germain,5,0,5,18.5,18.5,0.0,11,2526
João Neves,Paris Saint Germain,5,0,5,18.5,18.5,0.0,8,2526
Olivier Giroud,Lille,4,1,5,17.9,14.3,3.6,12,2526
Hákon Haraldsson,Lille,4,1,5,17.9,14.3,3.6,13,2526
Matias Fernandez-Pardo,Lille,2,3,5,17.9,7.1,10.7,12,2526
Robinio Vaz,Marseille,4,2,6,17.1,11.4,5.7,13,2526
Ludovic Blas,Rennes,3,1,4,16.7,12.5,4.2,12,2526
Aiyegun Tosin,Lorient,3,0,3,16.7,16.7,0.0,13,2526
Youssef El-Arabi,Nantes,2,0,2,16.7,16.7,0.0,12,2526
Théo Le Bris,Lorient,2,1,3,16.7,11.1,5.6,13,2526
Mostafa Mohamed,Nantes,2,0,2,16.7,16.7,0.0,13,2526
Mohamed Meïté,Rennes,2,2,4,16.7,8.3,8.3,12,2526
Louis Leroux,Nantes,1,1,2,16.7,8.3,8.3,12,2526
Guela Doué,Strasbourg,1,3,4,16.0,4.0,12.0,10,2526
Diego Moreira,Strasbourg,1,3,4,16.0,4.0,12.0,13,2526
Mama Baldé,Brest,1,2,3,15.8,5.3,10.5,10,2526
Hichem Boudaoui,Nice,1,2,3,15.8,5.3,10.5,11,2526
Jonathan Clauss,Nice,1,2,3,15.8,5.3,10.5,11,2526
Abdoulaye Touré,Le Havre,2,0,2,15.4,15.4,0.0,11,2526
Gautier Lloris,Le Havre,1,1,2,15.4,7.7,7.7,13,2526
Yassine Kechta,Le Havre,1,1,2,15.4,7.7,7.7,13,2526
Djibril Sidibe,Toulouse,2,1,3,15.0,10.0,5.0,14,2526
Santiago Hidalgo,Toulouse,1,2,3,15.0,5.0,10.0,10,2526
Nuno Mendes,Paris Saint Germain,2,2,4,14.8,7.4,7.4,10,2526
