Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Angers,1,2025-08-22,Paris SG,A,L,1,0,0,0.0,0.0,0.0
Angers,2,2025-08-31,Rennes,H,D,1,1,1,0.0,1.0,1.0
Angers,3,2025-09-19,Lyon,A,L,1,0,0,0.0,0.0,1.0
Angers,4,2025-09-28,Brest,H,L,0,2,0,3.0,-3.0,-2.0
Angers,5,2025-10-05,Strasbourg,A,L,5,0,0,1.0,-1.0,-3.0
Angers,6,2025-10-18,Monaco,H,D,1,1,1,0.0,1.0,-2.0
Angers,7,2025-10-29,Marseille,A,D,2,2,1,1.0,0.0,-2.0
Angers,8,2025-11-02,Lille,A,L,1,0,0,0.0,0.0,-2.0
Angers,9,2025-11-09,Auxerre,H,W,2,0,3,3.0,0.0,-2.0
Auxerre,1,2025-08-23,Nice,A,L,3,1,0,1.0,-1.0,-1.0
Auxerre,2,2025-08-30,Nantes,A,L,1,0,0,0.0,0.0,-1.0
Auxerre,3,2025-09-13,Monaco,H,L,1,2,0,0.0,0.0,-1.0
Auxerre,4,2025-09-21,Toulouse,H,W,1,0,3,1.0,2.0,1.0
Auxerre,5,2025-09-27,Paris SG,A,L,2,0,0,0.0,0.0,1.0
Auxerre,6,2025-10-04,Lens,H,L,1,2,0,1.0,-1.0,0.0
Auxerre,7,2025-10-19,Rennes,A,D,2,2,1,3.0,-2.0,-2.0
Auxerre,8,2025-10-26,Le Havre,H,L,0,1,0,0.0,0.0,-2.0
Auxerre,9,2025-10-29,Strasbourg,A,L,3,0,0,0.0,0.0,-2.0
Auxerre,10,2025-11-01,Marseille,H,L,0,1,0,3.0,-3.0,-5.0
Auxerre,11,2025-11-09,Angers,A,L,2,0,0,0.0,0.0,-5.0
Brest,1,2025-08-17,Lille,H,D,3,3,1,3.0,-2.0,-2.0
Brest,2,2025-08-24,Toulouse,A,L,2,0,0,3.0,-3.0,-5.0
Brest,3,2025-08-29,Lens,A,L,3,1,0,0.0,0.0,-5.0
Brest,4,2025-09-20,Nice,H,W,4,1,3,0.0,3.0,-2.0
Brest,5,2025-09-28,Angers,A,W,0,2,3,0.0,3.0,1.0
Brest,6,2025-10-04,Nantes,H,D,0,0,1,3.0,-2.0,-1.0
Brest,7,2025-10-25,Paris SG,H,L,0,3,0,0.0,0.0,-1.0
Brest,8,2025-10-29,Le Havre,A,L,1,0,0,3.0,-3.0,-4.0
Brest,9,2025-11-02,Lyon,H,D,0,0,1,3.0,-2.0,-6.0
Brest,10,2025-11-08,Marseille,A,L,3,0,0,0.0,0.0,-6.0
Le Havre,1,2025-08-16,Monaco,A,L,3,1,0,0.0,0.0,0.0
Le Havre,2,2025-08-24,Lens,H,L,1,2,0,0.0,0.0,0.0
Le Havre,3,2025-08-31,Nice,H,W,3,1,3,0.0,3.0,3.0
Le Havre,4,2025-09-14,Strasbourg,A,L,1,0,0,3.0,-3.0,0.0
Le Havre,5,2025-10-05,Rennes,H,D,2,2,1,0.0,1.0,1.0
Le Havre,6,2025-10-18,Marseille,A,L,6,2,0,0.0,0.0,1.0
Le Havre,7,2025-10-26,Auxerre,A,W,0,1,3,3.0,0.0,1.0
Le Havre,8,2025-10-29,Brest,H,W,1,0,3,0.0,3.0,4.0
Le Havre,9,2025-11-02,Toulouse,A,D,0,0,1,0.0,1.0,5.0
Le Havre,10,2025-11-08,Nantes,H,D,1,1,1,3.0,-2.0,3.0
Lens,1,2025-08-16,Lyon,H,L,0,1,0,1.0,-1.0,-1.0
Lens,2,2025-08-24,Le Havre,A,W,1,2,3,3.0,0.0,-1.0
Lens,3,2025-08-29,Brest,H,W,3,1,3,3.0,0.0,-1.0
Lens,4,2025-09-14,Paris SG,A,L,2,0,0,0.0,0.0,-1.0
Lens,5,2025-09-20,Lille,H,W,3,0,3,0.0,3.0,2.0
Lens,6,2025-09-28,Rennes,A,D,0,0,1,1.0,0.0,2.0
Lens,7,2025-10-04,Auxerre,A,W,1,2,3,1.0,2.0,4.0
Lens,8,2025-10-25,Marseille,H,W,2,1,3,0.0,3.0,7.0
Lens,9,2025-11-08,Monaco,A,W,1,4,3,1.0,2.0,9.0
Lille,1,2025-08-17,Brest,A,D,3,3,1,0.0,1.0,1.0
Lille,2,2025-08-24,Monaco,H,W,1,0,3,3.0,0.0,1.0
Lille,3,2025-09-14,Toulouse,H,W,2,1,3,3.0,0.0,1.0
Lille,4,2025-09-20,Lens,A,L,3,0,0,3.0,-3.0,-2.0
Lille,5,2025-09-28,Lyon,H,L,0,1,0,1.0,-1.0,-3.0
Lille,6,2025-10-05,Paris SG,H,D,1,1,1,0.0,1.0,-2.0
Lille,7,2025-10-19,Nantes,A,W,0,2,3,0.0,3.0,1.0
Lille,8,2025-10-29,Nice,A,L,2,0,0,1.0,-1.0,0.0
Lille,9,2025-11-02,Angers,H,W,1,0,3,3.0,0.0,0.0
Lille,10,2025-11-09,Strasbourg,A,L,2,0,0,0.0,0.0,0.0
Lyon,1,2025-08-16,Lens,A,W,0,1,3,1.0,2.0,2.0
Lyon,2,2025-08-31,Marseille,H,W,1,0,3,0.0,3.0,5.0
Lyon,3,2025-09-14,Rennes,A,L,3,1,0,0.0,0.0,5.0
Lyon,4,2025-09-19,Angers,H,W,1,0,3,3.0,0.0,5.0
Lyon,5,2025-09-28,Lille,A,W,0,1,3,1.0,2.0,7.0
Lyon,6,2025-10-05,Toulouse,H,L,1,2,0,1.0,-1.0,6.0
