player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Erling Haaland,Manchester City,15,3,18,56.2,46.9,9.4,14,2526
Thiago,Brentford,11,0,11,52.4,52.4,0.0,14,2526
Antoine Semenyo,Bournemouth,6,3,9,42.9,28.6,14.3,13,2526
Jack Grealish,Everton,2,4,6,40.0,13.3,26.7,13,2526
Jean-Philippe Mateta,Crystal Palace,7,0,7,38.9,38.9,0.0,14,2526
Iliman Ndiaye,Everton,4,1,5,33.3,26.7,6.7,14,2526
Jaidon Anthony,Burnley,4,1,5,33.3,26.7,6.7,14,2526
Cody Gakpo,Liverpool,4,3,7,33.3,19.0,14.3,14,2526
Kiernan Dewsbury-Hall,Everton,3,2,5,33.3,20.0,13.3,13,2526
Bruno Fernandes,Manchester United,2,5,7,31.8,9.1,22.7,14,2526
Nick Woltemade,Newcastle United,5,1,6,31.6,26.3,5.3,11,2526
Bruno Guimarães,Newcastle United,4,2,6,31.6,21.1,10.5,13,2526
Richarlison,Tottenham,5,2,7,30.4,21.7,8.7,14,2526
Mohammed Kudus,Tottenham,2,5,7,30.4,8.7,21.7,13,2526
Morgan Rogers,Aston Villa,3,3,6,30.0,15.0,15.0,14,2526
Danny Welbeck,Brighton,7,0,7,29.2,29.2,0.0,14,2526
Mohamed Salah,Liverpool,4,2,6,28.6,19.0,9.5,13,2526
Morgan Gibbs-White,Nottingham Forest,3,1,4,28.6,21.4,7.1,14,2526
Marshall Munetsi,Wolverhampton Wanderers,1,1,2,28.6,14.3,14.3,13,2526
Ladislav Krejcí,Wolverhampton Wanderers,1,1,2,28.6,14.3,14.3,9,2526
Pedro Neto,Chelsea,5,2,7,28.0,20.0,8.0,14,2526
João Pedro,Chelsea,4,3,7,28.0,16.0,12.0,14,2526
Daniel Muñoz,Crystal Palace,3,2,5,27.8,16.7,11.1,14,2526
Enzo Le Fée,Sunderland,2,3,5,27.8,11.1,16.7,13,2526
Granit Xhaka,Sunderland,1,4,5,27.8,5.6,22.2,14,2526
Bryan Mbeumo,Manchester United,5,1,6,27.3,22.7,4.5,14,2526
Zian Flemming,Burnley,4,0,4,26.7,26.7,0.0,11,2526
Quilindschy Hartman,Burnley,0,4,4,26.7,0.0,26.7,14,2526
Samuel Chukwueze,Fulham,2,3,5,26.3,10.5,15.8,7,2526
Callum Wilson,West Ham,4,0,4,25.0,25.0,0.0,11,2526
Lukas Nmecha,Leeds,4,0,4,25.0,25.0,0.0,14,2526
Donyell Malen,Aston Villa,4,1,5,25.0,20.0,5.0,14,2526
Jarrod Bowen,West Ham,3,1,4,25.0,18.8,6.2,14,2526
Emiliano Buendía,Aston Villa,3,2,5,25.0,15.0,10.0,12,2526
Wilson Isidor,Sunderland,4,0,4,22.2,22.2,0.0,14,2526
Mikel Merino,Arsenal,3,3,6,22.2,11.1,11.1,13,2526
Ismaila Sarr,Crystal Palace,3,1,4,22.2,16.7,5.6,11,2526
Leandro Trossard,Arsenal,3,3,6,22.2,11.1,11.1,10,2526
Harry Wilson,Fulham,3,1,4,21.1,15.8,5.3,13,2526
Alex Iwobi,Fulham,2,2,4,21.1,10.5,10.5,14,2526
Yankuba Minteh,Brighton,1,4,5,20.8,4.2,16.7,14,2526
Enzo Fernández,Chelsea,4,1,5,20.0,16.0,4.0,13,2526
Josh Cullen,Burnley,2,1,3,20.0,13.3,6.7,14,2526
Lyle Foster,Burnley,2,1,3,20.0,13.3,6.7,11,2526
James Garner,Everton,1,2,3,20.0,6.7,13.3,14,2526
Eli Junior Kroupi,Bournemouth,4,0,4,19.0,19.0,0.0,11,2526
Hugo Ekitike,Liverpool,3,1,4,19.0,14.3,4.8,13,2526
Kevin Schade,Brentford,3,1,4,19.0,14.3,4.8,14,2526
Ryan Gravenberch,Liverpool,3,1,4,19.0,14.3,4.8,12,2526
Marcus Tavernier,Bournemouth,3,1,4,19.0,14.3,4.8,14,2526
Phil Foden,Manchester City,5,1,6,18.8,15.6,3.1,12,2526
Dominic Calvert-Lewin,Leeds,3,0,3,18.8,18.8,0.0,12,2526
Lucas Paquetá,West Ham,3,0,3,18.8,18.8,0.0,12,2526
Sean Longstaff,Leeds,1,2,3,18.8,6.2,12.5,12,2526
Anton Stach,Leeds,1,2,3,18.8,6.2,12.5,12,2526
El Hadji Malick Diouf,West Ham,0,3,3,18.8,0.0,18.8,14,2526
Bukayo Saka,Arsenal,4,1,5,18.5,14.8,3.7,12,2526
Declan Rice,Arsenal,2,3,5,18.5,7.4,11.1,14,2526
Casemiro,Manchester United,3,1,4,18.2,13.6,4.5,13,2526
Pape Sarr,Tottenham,2,2,4,17.4,8.7,8.7,13,2526
João Palhinha,Tottenham,2,2,4,17.4,8.7,8.7,13,2526
Brian Brobbey,Sunderland,2,1,3,16.7,11.1,5.6,9,2526
Chemsdine Talbi,Sunderland,2,1,3,16.7,11.1,5.6,14,2526
Marc Guehi,Crystal Palace,1,2,3,16.7,5.6,11.1,13,2526
Moisés Caicedo,Chelsea,3,1,4,16.0,12.0,4.0,12,2526
Reece James,Chelsea,1,3,4,16.0,4.0,12.0,13,2526
Harvey Barnes,Newcastle United,3,0,3,15.8,15.8,0.0,14,2526
Raúl Jiménez,Fulham,2,1,3,15.8,10.5,5.3,13,2526
Jacob Murphy,Newcastle United,2,1,3,15.8,10.5,5.3,12,2526
Lewis Miley,Newcastle United,1,2,3,15.8,5.3,10.5,10,2526
Jéremy Doku,Manchester City,1,4,5,15.6,3.1,12.5,14,2526
Ollie Watkins,Aston Villa,3,0,3,15.0,15.0,0.0,14,2526
Matthew Cash,Aston Villa,2,1,3,15.0,10.0,5.0,14,2526
Boubacar Kamara,Aston Villa,1,2,3,15.0,5.0,10.0,12,2526
Lucas Digne,Aston Villa,0,3,3,15.0,0.0,15.0,14,2526
Viktor Gyokeres,Arsenal,4,0,4,14.8,14.8,0.0,12,2526
Jurriën Timber,Arsenal,2,2,4,14.8,7.4,7.4,14,2526
Dango Ouattara,Brentford,3,0,3,14.3,14.3,0.0,13,2526
Federico Chiesa,Liverpool,2,1,3,14.3,9.5,4.8,10,2526
Chris Wood,Nottingham Forest,2,0,2,14.3,14.3,0.0,8,2526
Tyler Adams,Bournemouth,2,1,3,14.3,9.5,4.8,14,2526
Nicolò Savona,Nottingham Forest,2,0,2,14.3,14.3,0.0,9,2526
