Team,Match_Number,Date,Opponent,Venue,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Atalanta,1,2025-08-30,Parma,A,1,1,1,3.0,-2.0,-2.0
Atalanta,2,2025-09-14,Lecce,H,4,1,3,1.0,2.0,0.0
Atalanta,3,2025-09-21,Torino,A,0,3,3,0.0,3.0,3.0
Atalanta,4,2025-09-27,Juventus,A,1,1,1,3.0,-2.0,1.0
Atalanta,5,2025-10-04,Como,H,1,1,1,0.0,1.0,2.0
Bologna,1,2025-08-23,Roma,A,1,0,0,3.0,-3.0,-3.0
Bologna,2,2025-08-30,Como,H,1,0,3,3.0,0.0,-3.0
Bologna,3,2025-09-14,Milan,A,1,0,0,0.0,0.0,-3.0
Bologna,4,2025-09-20,Genoa,H,2,1,3,0.0,3.0,0.0
Bologna,5,2025-09-28,Lecce,A,2,2,1,1.0,0.0,0.0
Cagliari,1,2025-08-24,Fiorentina,H,1,1,1,0.0,1.0,1.0
Cagliari,2,2025-08-30,Napoli,A,1,0,0,0.0,0.0,1.0
Cagliari,3,2025-09-13,Parma,H,2,0,3,3.0,0.0,1.0
Cagliari,4,2025-09-19,Lecce,A,1,2,3,0.0,3.0,4.0
Cagliari,5,2025-09-27,Inter,H,0,2,0,0.0,0.0,4.0
Cagliari,6,2025-10-05,Udinese,A,1,1,1,0.0,1.0,5.0
Como,1,2025-08-24,Lazio,H,2,0,3,0.0,3.0,3.0
Como,2,2025-08-30,Bologna,A,1,0,0,0.0,0.0,3.0
Como,3,2025-09-15,Genoa,H,1,1,1,3.0,-2.0,1.0
Como,4,2025-09-21,Fiorentina,A,1,2,3,3.0,0.0,1.0
Como,5,2025-10-04,Atalanta,A,1,1,1,3.0,-2.0,-1.0
Fiorentina,1,2025-08-24,Cagliari,A,1,1,1,3.0,-2.0,-2.0
Fiorentina,2,2025-08-31,Torino,A,0,0,1,3.0,-2.0,-4.0
Fiorentina,3,2025-09-13,Napoli,H,1,3,0,0.0,0.0,-4.0
Fiorentina,4,2025-09-21,Como,H,1,2,0,0.0,0.0,-4.0
Fiorentina,5,2025-10-05,Roma,H,1,2,0,3.0,-3.0,-7.0
Genoa,1,2025-08-23,Lecce,H,0,0,1,3.0,-2.0,-2.0
Genoa,2,2025-08-31,Juventus,H,0,1,0,0.0,0.0,-2.0
Genoa,3,2025-09-15,Como,A,1,1,1,0.0,1.0,-1.0
Genoa,4,2025-09-20,Bologna,A,2,1,0,3.0,-3.0,-4.0
Genoa,5,2025-09-29,Lazio,H,0,3,0,0.0,0.0,-4.0
Genoa,6,2025-10-05,Napoli,A,2,1,0,1.0,-1.0,-5.0
Inter,1,2025-08-25,Torino,H,5,0,3,3.0,0.0,0.0
Inter,2,2025-08-31,Udinese,H,1,2,0,3.0,-3.0,-3.0
Inter,3,2025-09-13,Juventus,A,4,3,0,0.0,0.0,-3.0
Inter,4,2025-09-27,Cagliari,A,0,2,3,3.0,0.0,-3.0
Juventus,1,2025-08-24,Parma,H,2,0,3,1.0,2.0,2.0
Juventus,2,2025-08-31,Genoa,A,0,1,3,3.0,0.0,2.0
Juventus,3,2025-09-13,Inter,H,4,3,3,3.0,0.0,2.0
Juventus,4,2025-09-20,Verona,A,1,1,1,3.0,-2.0,0.0
Juventus,5,2025-09-27,Atalanta,H,1,1,1,0.0,1.0,1.0
